#====================
kp=0.1000
#n_loop, t_ms, des_pos, e, diff, position
1,0.01,3000,1096,438,1904
2,5.43,3000,1096,109,1904
3,10.86,3000,1096,109,1904
4,16.37,3000,1096,109,1904
5,21.90,3000,1096,109,1904
6,27.41,3000,1097,110,1903
7,32.94,3000,1096,109,1904
8,38.46,3000,1095,109,1905
9,44.00,3001,1099,111,1902
10,49.50,3001,1097,109,1904
11,55.09,3001,1084,104,1917
12,60.66,3002,1098,114,1904
13,66.24,3002,1085,104,1917
14,71.84,3003,1099,114,1904
15,77.45,3003,1099,109,1904
16,83.06,3004,1098,109,1906
17,88.64,3004,1090,106,1914
18,94.25,3005,1074,102,1931
19,99.86,3006,1035,91,1971
20,105.41,3006,994,87,2012
21,110.93,3007,943,79,2064
22,116.48,3008,858,60,2150
23,122.00,3009,778,53,2231
24,127.51,3010,709,50,2301
25,133.02,3011,635,41,2376
26,138.53,3012,562,34,2450
27,144.04,3013,540,47,2473
28,149.54,3014,494,35,2520
29,155.05,3015,428,22,2587
30,160.58,3016,323,0,2693
31,166.08,3017,193,-19,2824
32,171.57,3018,137,-3,2881
33,177.09,3019,89,-5,2930
34,182.52,3020,47,-7,2973
35,187.93,3022,9,-10,3013
36,193.40,3023,-31,-15,3054
37,198.89,3024,-79,-22,3103
38,204.39,3026,-111,-20,3137
39,209.96,3027,-164,-32,3191
40,215.49,3029,-213,-36,3242
41,221.03,3030,-245,-34,3275
42,226.57,3032,-272,-35,3304
43,232.11,3033,-294,-36,3327
44,237.64,3035,-300,-31,3335
45,243.18,3037,-289,-25,3326
46,248.72,3038,-274,-22,3312
47,254.25,3040,-248,-17,3288
48,259.79,3042,-235,-19,3277
49,265.34,3044,-212,-14,3256
50,270.88,3046,-205,-18,3251
51,276.43,3047,-195,-16,3242
52,281.97,3049,-193,-18,3242
53,287.52,3051,-182,-14,3233
54,293.07,3053,-168,-12,3221
55,298.60,3055,-169,-17,3224
56,304.16,3058,-166,-15,3224
57,309.71,3060,-155,-12,3215
58,315.26,3062,-152,-14,3214
59,320.81,3064,-148,-13,3212
60,326.36,3066,-158,-18,3224
61,331.91,3069,-143,-9,3212
62,337.40,3071,-144,-14,3215
63,342.96,3073,-142,-13,3215
64,348.50,3076,-136,-11,3212
65,354.04,3078,-137,-14,3215
66,359.58,3081,-131,-11,3212
67,365.13,3083,-132,-13,3215
68,370.68,3086,-129,-12,3215
69,376.22,3088,-127,-12,3215
70,381.78,3091,-124,-11,3215
71,387.32,3094,-119,-10,3213
72,392.88,3096,-119,-11,3215
73,398.41,3099,-116,-10,3215
74,403.96,3102,-113,-10,3215
75,409.51,3105,-110,-10,3215
76,415.05,3108,-113,-12,3221
77,420.59,3110,-100,-6,3210
78,426.08,3113,-94,-7,3207
79,431.51,3116,-94,-9,3210
80,436.94,3119,-91,-8,3210
81,442.38,3122,-88,-7,3210
82,447.82,3125,-97,-12,3222
83,453.31,3128,-82,-3,3210
84,458.75,3131,-79,-7,3210
85,464.18,3134,-87,-11,3221
86,469.68,3138,-72,-2,3210
87,475.11,3141,-69,-6,3210
88,480.55,3144,-78,-10,3222
89,486.04,3147,-63,-1,3210
90,491.47,3151,-58,-4,3209
91,496.90,3154,-67,-9,3221
92,502.33,3157,-53,-1,3210
93,507.78,3161,-49,-3,3210
94,513.21,3164,-58,-8,3222
95,518.65,3168,-42,0,3210
96,524.08,3171,-39,-3,3210
97,529.50,3175,-34,-1,3209
98,534.93,3178,-32,-2,3210
99,540.37,3182,-28,-1,3210
100,545.80,3186,-24,-1,3210
101,551.29,3189,-36,-7,3225
102,556.79,3193,-17,4,3210
103,562.28,3197,-10,1,3207
104,567.76,3201,-9,0,3210
105,573.19,3204,-6,0,3210
106,578.62,3208,-2,1,3210
107,584.05,3212,-11,-3,3223
108,589.53,3216,6,5,3210
109,594.96,3220,10,2,3210
110,600.42,3224,3,-1,3221
111,605.85,3228,18,6,3210
112,611.32,3232,22,3,3210
113,616.78,3236,23,2,3213
114,622.26,3240,25,3,3215
115,627.72,3245,30,4,3215
116,633.18,3249,36,5,3213
117,638.66,3253,38,4,3215
118,644.12,3257,42,5,3215
119,649.59,3262,48,6,3214
120,655.06,3266,51,6,3215
121,660.52,3270,55,6,3215
122,665.99,3275,51,3,3224
123,671.46,3279,64,10,3215
124,676.96,3283,68,8,3215
125,682.43,3288,73,8,3215
126,687.90,3292,77,8,3215
127,693.36,3297,82,9,3215
128,698.82,3302,87,10,3215
129,704.33,3306,82,6,3224
130,709.80,3311,99,15,3212
131,715.30,3315,100,10,3215
132,720.86,3320,105,12,3215
133,726.43,3325,111,12,3214
134,732.00,3330,115,12,3215
135,737.55,3335,123,14,3212
136,743.12,3340,125,13,3215
137,748.69,3344,132,15,3212
138,754.26,3349,134,14,3215
139,759.84,3354,139,15,3215
140,765.41,3359,144,15,3215
141,770.99,3364,149,16,3215
142,776.56,3369,157,18,3212
143,782.13,3374,159,16,3215
